scenario_id,landscape_ratio,facade_ratio,mean_albedo,mean_emissivity,total_area,landscape_albedo,landscape_emissivity,landscape_area,facade_albedo,facade_emissivity,facade_area,degree_hours_pct_change,mean_Tsurf_C_pct_change,mean_MRT_C_pct_change
scenario_000,0.0,0.0,0.3586001769378156,0.9025899675614005,74466.84,0.1,0.95,42371.61,0.7,0.8399999999999999,32095.230000000003,8.330932871317989,-10.021975152460383,-9.605574543179628
scenario_001,0.25,0.0,0.3066189863837381,0.9161050771054605,74466.84,0.1,0.95,42371.61,0.5793940719539944,0.8713575412919614,32095.23,3.095495985236046,-7.388818179383043,-7.094883665150709
scenario_002,0.5,0.0,0.27918939490382566,0.9232367708902378,74466.84,0.1,0.95,42371.61,0.5157523719256725,0.8879043832993251,32095.230000000003,-1.8812625123040945,3.9501099312389782,3.7807599337772246
scenario_003,0.75,0.0,0.1935536273595066,0.9455020704517608,74466.84,0.1,0.95,42371.61,0.3170616318998182,0.9395639757060473,32095.23,-4.5602245277917834,3.1638603512681884,3.131214302252159
scenario_004,1.0,0.0,0.14310002948963593,0.9586200058979273,74466.84,0.1,0.95,42371.61,0.19999999999999998,0.9699999999999999,32095.230000000003,-5.2085716845149195,9.662670091032302,9.29700716666695
scenario_005,0.0,0.25,0.36345514191282996,0.9039771004114047,74466.84,0.10853245604781127,0.952437844585089,42371.61,0.7,0.8399999999999999,32095.230000000003,9.084854361674108,-10.715545763805084,-10.268796400160172
scenario_006,0.25,0.25,0.3355546656740101,0.9127802750861994,74466.84,0.11352116664908415,0.953863190471167,42371.61,0.6286797446224874,0.8585432663981531,32095.230000000003,4.554464153989677,-9.45424229662525,-9.043268222456904
scenario_007,0.5,0.25,0.2448742809551204,0.9349558112040204,74466.84,0.1090080811184659,0.9525737374624187,42371.61,0.4242426678356877,0.9116969063627214,32095.23,-1.0780573164932994,-2.8491518515302303,-2.7711300498929075
scenario_008,0.75,0.25,0.17379049654853088,0.9548864353583417,74466.84000000001,0.11367406383661137,0.9539068753818889,42371.61,0.2531552507958348,0.9561796347930829,32095.230000000003,-3.357574513705439,4.494610260879332,4.337982044883963
scenario_009,1.0,0.25,0.15414850422013343,0.9617767129637835,74466.84,0.11941736459860745,0.9555478184567451,42371.60999999999,0.2,0.97,32095.23,-3.8194043711767898,8.65820797453647,8.325927856861849
scenario_010,0.0,0.5,0.37325728740470265,0.9067777134090824,74466.84,0.12575943420606392,0.9573598383445896,42371.61,0.7,0.8399999999999999,32095.230000000003,11.091233677300592,-12.667539136824866,-12.116261467016749
scenario_011,0.25,0.5,0.3352702907764047,0.916734162480911,74466.84,0.1260165261598509,0.9574332931885287,42371.61,0.6115237684852234,0.8630038201938418,32095.230000000003,5.629016274601768,-7.149911398867974,-6.912733276164189
scenario_012,0.5,0.5,0.2831136033165903,0.9322099017495573,74466.84,0.13218377588201158,0.9591953645377175,42371.61,0.4823687507458273,0.8965841248060851,32095.229999999996,0.0,0.0,0.0
scenario_013,0.75,0.5,0.23368712973452346,0.9457196102318831,74466.84,0.13430551966281198,0.9598015770465177,42371.60999999999,0.3648891439631372,0.9271288225695843,32095.23,-1.4080201961964502,4.655055140823354,4.5057424282394996
scenario_014,1.0,0.5,0.1623426212257698,0.9641178892511084,74466.84,0.1338182806836936,0.9596623659096267,42371.61,0.19999999999999998,0.9699999999999999,32095.230000000003,-2.277446471679023,7.807770821982,7.509830435833541
scenario_015,0.0,0.75,0.39125121866323326,0.9119188366258055,74466.84,0.15738323136647395,0.9663952089618497,42371.61,0.7,0.8399999999999999,32095.230000000003,11.02268879988218,-12.719155205351855,-12.174497516189753
scenario_016,0.25,0.75,0.3263082198734363,0.9265137811675641,74466.84,0.15000754042624295,0.9642878686932123,42371.61,0.5590575608898891,0.8766450341686287,32095.230000000003,6.8584623581872535,-10.172712107306124,-9.716448966441815
scenario_017,0.5,0.75,0.2843396725307532,0.939870245601935,74466.84000000001,0.1578804982864706,0.9665372852247059,42371.61,0.451289054479435,0.9046648458353468,32095.230000000003,1.6340028746360185,-2.6377817514644732,-2.447734222879232
scenario_018,0.75,0.75,0.22955977855378315,0.9545141273619236,74466.84,0.1591722688847556,0.9669063625385016,42371.61,0.32248424454350383,0.9381540964186887,32095.230000000003,-0.3719529152444925,0.0267692531155172,0.0783357985380948
scenario_019,1.0,0.75,0.17537858998716746,0.9678424517543648,74466.84,0.15672860672511618,0.9662081733500332,42371.61,0.19999999999999998,0.9699999999999999,32095.230000000003,-1.3121925545204574,6.830273936790611,6.570051161889606
scenario_020,0.0,1.0,0.3984301562950705,0.9139699616634733,74466.84,0.17,0.97,42371.61,0.7,0.8399999999999999,32095.230000000003,12.762267167987051,-14.463357381218856,-13.821651739290129
scenario_021,0.25,1.0,0.367539359800953,0.9220015687519437,74466.84,0.17,0.97,42371.61,0.6283276673823492,0.858634806480589,32095.230000000003,8.174385785980602,-9.058706615410706,-8.620060675430485
scenario_022,0.5,1.0,0.27892427958538324,0.9450414896079921,74466.84,0.17,0.97,42371.61,0.42272437368418914,0.9120916628421106,32095.230000000003,3.2879629223912827,-8.359523585591566,-7.959677991109164
scenario_023,0.75,1.0,0.20969937357352617,0.9630399651710749,74466.84,0.17,0.97,42371.61,0.262109852460942,0.9538514383601552,32095.229999999996,0.4330716365384241,0.6107421822406488,0.6337395009364295
scenario_024,1.0,1.0,0.1829300088468908,0.97,74466.84,0.16999999999999998,0.97,42371.61,0.20000000000000004,0.9700000000000001,32095.229999999996,-0.2697474950059275,5.858992489988573,5.632388035646522
