scenario_id,landscape_ratio,facade_ratio,heat_stress_hours_mean,heat_stress_hours_pct_change,degree_hours_mean,degree_hours_pct_change,mean_Tleaf_C_mean,mean_Tleaf_C_pct_change,max_Tleaf_C_mean,max_Tleaf_C_pct_change,mean_MRT_C_mean,mean_MRT_C_pct_change,max_MRT_C_mean,max_MRT_C_pct_change,mean_Tsurf_C_mean,mean_Tsurf_C_pct_change,max_Tsurf_C_mean,max_Tsurf_C_pct_change
scenario_000,0.0,0.0,18.224489795918366,7.7201447527141,27.76109053249271,8.330932871317989,23.95585097686354,0.6260711016089581,33.53002376623158,0.29718746624421055,20.44195001842686,-9.605574543179628,31.12320059591124,-14.236650947190698,22.037362043563014,-10.021975152460385,33.15943798534143,-14.991066370331307
scenario_001,0.25,0.0,17.448979591836736,3.136308805790109,26.419447536172186,3.0954959852360466,23.88513150628005,0.3290153851547478,33.46120207759886,0.09132355589736516,21.00972194884201,-7.094883665150709,32.59809023133382,-10.172432865656528,22.682273216391728,-7.388818179383043,34.846022156848136,-10.667268061088421
scenario_002,0.5,0.0,16.82312925170068,-0.5629272215520688,25.14409395482087,-1.8812625123040942,23.814803587269285,0.0336043732211619,33.39341985098146,-0.11143104807556281,23.46915859821489,3.7807599337772246,37.87519016118975,4.369187359939636,25.459396457128705,3.9501099312389787,40.82330349545773,4.656342454395661
scenario_003,0.75,0.0,16.537414965986393,-2.251708886208296,24.457578062509622,-4.5602245277917834,23.774879652119232,-0.13409531488197698,33.35010695699843,-0.24099139309077863,23.32226923786749,3.131214302252159,38.162886170402246,5.161964863113041,25.266828697614372,3.1638603512681884,41.09592099494643,5.355236172997471
scenario_004,1.0,0.0,16.435374149659864,-2.854845195014075,24.29143138918913,-5.2085716845149195,23.765446664078166,-0.1737183917761224,33.34124030519367,-0.26751389854618596,24.716612184585454,9.29700716666695,41.145209357180114,13.380079310170226,26.858513148679886,9.662670091032302,44.48983723982963,14.056022987703788
scenario_005,0.0,0.25,18.306122448979593,8.20265379975875,27.954291884991257,9.084854361674108,23.952570086296177,0.6122897866464038,33.54198023104516,0.3329524212946999,20.291967893057848,-10.268796400160172,30.874239359689344,-14.922690589447877,21.86749315956743,-10.715545763805084,32.873296002771525,-15.724632024118915
scenario_006,0.25,0.25,17.53061224489796,3.6188178528347366,26.793325489064053,4.554464153989677,23.88206546867002,0.31613655572618826,33.49068397866518,0.17951173550396107,20.569110931781523,-9.043268222456904,31.6901536596536,-12.674350394185119,22.17641082252059,-9.45424229662525,33.792117347399945,-13.36910287620124
scenario_007,0.5,0.25,16.80952380952381,-0.6433453960595101,25.349924843248267,-1.0780573164932994,23.809529353007555,0.011450058087879472,33.39768473895454,-0.09867363783509517,21.987502988418534,-2.7711300498929075,35.134255213210935,-3.1837556592122236,23.794125478023144,-2.8491518515302303,37.726762884305785,-3.282079644656661
scenario_008,0.75,0.25,16.551020408163264,-2.1712907117008546,24.765771438446055,-3.357574513705439,23.77148755976445,-0.1483437307201494,33.367460230167445,-0.1890831539460617,23.595169759708995,4.337982044883963,38.653315086197445,6.513394840930302,25.59275514017888,4.494610260879332,41.67894353832235,6.849897352609552
scenario_009,1.0,0.25,16.510204081632654,-2.4125452352231576,24.647422042349746,-3.8194043711767898,23.761307085562045,-0.19110660822880254,33.354212094619946,-0.22871183849008989,24.497010648156124,8.325927856861849,40.69092939976749,12.12826170114217,26.61250091004974,8.65820797453647,43.979850702895256,12.748599994303115
